PROJECT_ID,USR_PRINCIPAL_INVESTIGATOR,USR_DIAGNOSIS_AREA,USR_FUNDING_DATE_START,USR_FUNDING_DATE_END
339,Mary Lawlor,2,1/1/90,12/31/94
340,Mary Lawlor,2,1/1/90,12/31/93
344,Mary Lawlor,2,1/1/90,12/31/91
313,Wishwa Kapoor,29,1/1/91,12/31/94
343,Mary Lawlor,29,1/1/91,12/31/92
313,Wishwa Kapoor,7,1/1/91,12/31/94
138,Dorothy Edwards,11,1/1/91,12/31/95
236,Kenneth Ottenbacher,8,1/1/92,12/31/93
236,Kenneth Ottenbacher,27,1/1/92,12/31/93
342,Mary Lawlor,2,1/1/92,12/31/92
194,Kyriakos Markides,29,9/30/92,1/31/15
194,Kyriakos Markides,12,9/30/92,1/31/15
194,Kyriakos Markides,11,9/30/92,1/31/15
335,Mary Lawlor,10,1/1/93,12/31/96
336,Mary Lawlor,2,1/1/93,12/31/95
337,Mary Lawlor,29,1/1/93,12/31/94
338,Jeanette McCullom,2,1/1/93,12/31/94
312,Joan Rogers,29,1/1/93,12/31/95
93,Wendy Coster,10,7/10/93,7/9/96
93,Wendy Coster,9,7/10/93,7/9/96
93,Wendy Coster,15,7/10/93,7/9/96
93,Wendy Coster,22,7/10/93,7/9/96
93,Wendy Coster,8,7/10/93,7/9/96
217,Roseann Schaaf,22,1/1/94,12/31/95
310,Joan Rogers,29,1/1/94,12/31/98
311,Joan Rogers,16,1/1/94,12/31/98
235,Kenneth Ottenbacher,29,1/1/94,12/31/97
139,Dorothy Edwards,11,1/1/95,12/31/00
140,Carolyn Baum,11,1/1/95,12/31/96
334,Mary Lawlor,2,1/1/95,12/31/97
292,Grace Baranek,1,7/1/95,7/31/96
107,Richard Lauer,8,1/1/96,12/31/04
107,Richard Lauer,23,1/1/96,12/31/04
141,Carolyn Baum,29,1/1/96,12/31/98
333,Mary Lawlor,2,1/1/96,12/31/99
106,Patricia Davies,22,6/1/96,4/3/16
109,Carolyn Baum,11,1/1/83,12/31/88
206,Roseann Schaaf,29,1/1/84,12/31/85
136,Carolyn Baum,29,1/1/85,12/31/86
347,Anne Henderson,2,1/1/85,12/31/87
348,Mary Lawlor,2,1/1/85,12/31/85
319,Joan Rogers,29,1/1/85,12/31/86
320,Joan Rogers,11,1/1/85,12/31/86
317,Michael McCue,29,1/1/86,12/31/89
318,Joan Rogers,16,1/1/86,12/31/87
341,Mary Lawlor,2,1/1/87,12/31/93
316,Janet Poole,3,1/1/87,12/31/98
346,Gary Kielhofner,2,1/1/87,12/31/91
137,S. Logan,28,1/1/88,12/31/89
137,S. Logan,17,1/1/88,12/31/89
137,S. Logan,13,1/1/88,12/31/89
315,Joan Rogers,3,1/1/88,12/31/90
345,Trudy Latzko,2,1/1/88,12/31/89
108,Carolyn Baum,29,1/1/82,12/31/84
