PROJECT_ID,USR_PRINCIPAL_INVESTIGATOR,USR_DIAGNOSIS_AREA,USR_FUNDING_DATE_START,USR_FUNDING_DATE_END
62,Craig Velozo,4,1/1/04,5/1/07
159,Mary Jane Mulcahey,23,1/1/04,12/31/06
439,P.L. Weiss,11,1/1/04,4/3/16
439,P.L. Weiss,10,1/1/04,4/3/16
439,P.L. Weiss,8,1/1/04,4/3/16
122,Patricia Davies,29,1/1/04,6/1/04
439,P.L. Weiss,4,1/1/04,4/3/16
49,Arlene Schmid,24,4/2/04,12/2/05
210,Roseann Schaaf,1,6/1/04,8/31/04
210,Roseann Schaaf,22,6/1/04,8/31/04
120,Patricia Davies,22,6/1/04,5/1/05
298,Stephanie Studenski,29,7/1/04,6/30/06
301,Charles Reynolds,16,7/1/04,6/30/10
96,Gael Orsmond,1,7/1/04,6/30/03
282,Linda Watson,1,7/1/04,2/28/07
422,Helen S Cohen,29,8/1/04,7/31/09
14,Jan Stube,29,8/2/04,6/1/06
209,Roseann Schaaf,1,8/15/04,8/14/05
209,Roseann Schaaf,22,8/15/04,8/14/05
121,Patricia Davies,29,9/1/04,8/1/05
118,Patricia Davies,22,10/1/04,6/1/05
28,Christine Helfrich,12,12/1/04,11/30/07
28,Christine Helfrich,28,12/1/04,11/30/07
28,Christine Helfrich,25,12/1/04,11/30/07
28,Christine Helfrich,21,12/1/04,11/30/07
28,Christine Helfrich,16,12/1/04,11/30/07
28,Christine Helfrich,7,12/1/04,11/30/07
28,Christine Helfrich,3,12/1/04,11/30/07
28,Christine Helfrich,26,12/1/04,11/30/07
144,Carolyn Baum,24,1/1/05,1/1/09
144,Carolyn Baum,4,1/1/05,1/1/09
297,Nancy Baker,3,1/1/05,12/31/06
145,Carolyn Baum,4,1/1/05,1/1/07
299,Ruth Turner Goins,29,1/1/05,12/31/10
160,Randal Betz,23,1/1/05,12/31/06
161,Mary Jane Mulcahey,8,1/1/05,12/31/08
29,Christine Helfrich,21,1/1/05,12/31/05
29,Christine Helfrich,29,1/1/05,12/31/05
126,Patricia Davies,22,1/1/05,5/31/05
127,Patricia Davies,19,1/15/05,1/14/09
127,Patricia Davies,29,1/15/05,1/14/09
98,Stephen Page,24,4/1/05,3/31/06
197,Stephen Page,24,4/1/05,3/31/06
125,Patricia Davies,29,4/1/05,3/31/08
178,Patricia Davies,29,4/1/05,3/30/08
198,Stephen Page,24,7/1/05,6/30/09
